4466.0000 C = 8070.7998 F
ERROR: Input tidak valid: 337.0000m
ERROR: Input tidak valid: 464.0000p
ERROR: Input tidak valid: 4911.0000y
ERROR: Input tidak valid: 2018.0000y
4141.0000 C = 7485.7998 F
1909.0000 F = 1042.7778 C
ERROR: Input tidak valid: 2767.0000y
ERROR: Input tidak valid: 222.0000x
ERROR: Input tidak valid: 256.0000z
ERROR: Input tidak valid: 362.0000z
1617.0000 F = 880.5555 C
2371.0000 C = 4299.7998 F
ERROR: Input tidak valid: 137.0000y
ERROR: Input tidak valid: 2401.0000x
ERROR: Input tidak valid: 3734.0000m
ERROR: Input tidak valid: 72.0000m
4748.0000 F = 2620.0000 C
ERROR: Input tidak valid: 3292.0000p
ERROR: Input tidak valid: 540.0000z
ERROR: Input tidak valid: 2931.0000m
ERROR: Input tidak valid: 2896.0000y
ERROR: Input tidak valid: 706.0000m
ERROR: Input tidak valid: 1933.0000z
ERROR: Input tidak valid: 3383.0000y
882.0000 F = 472.2222 C
ERROR: Input tidak valid: 177.0000y
ERROR: Input tidak valid: 1591.0000y
ERROR: Input tidak valid: 3480.0000z
ERROR: Input tidak valid: 3460.0000z
1767.0000 F = 963.8889 C
ERROR: Input tidak valid: 1076.0000m
ERROR: Input tidak valid: 2827.0000p
ERROR: Input tidak valid: 3577.0000x
ERROR: Input tidak valid: 3680.0000p
4798.0000 C = 8668.4004 F
ERROR: Input tidak valid: 1949.0000p
ERROR: Input tidak valid: 4548.0000m
ERROR: Input tidak valid: 1013.0000y
ERROR: Input tidak valid: 4226.0000y
ERROR: Input tidak valid: 107.0000x
4458.0000 C = 8056.3999 F
ERROR: Input tidak valid: 132.0000x
ERROR: Input tidak valid: 4219.0000p
ERROR: Input tidak valid: 19.0000m
ERROR: Input tidak valid: 217.0000y
ERROR: Input tidak valid: 1227.0000m
ERROR: Input tidak valid: 4994.0000z
ERROR: Input tidak valid: 2718.0000y
1220.0000 F = 660.0000 C
ERROR: Input tidak valid: 4644.0000m
908.0000 C = 1666.4000 F
ERROR: Input tidak valid: 3178.0000z
ERROR: Input tidak valid: 4955.0000x
ERROR: Input tidak valid: 1483.0000m
ERROR: Input tidak valid: 1616.0000x
ERROR: Input tidak valid: 4528.0000z
4669.0000 F = 2576.1111 C
415.0000 C = 779.0000 F
3319.0000 F = 1826.1111 C
ERROR: Input tidak valid: 370.0000x
ERROR: Input tidak valid: 21.0000x
ERROR: Input tidak valid: 3184.0000m
ERROR: Input tidak valid: 628.0000m
ERROR: Input tidak valid: 492.0000x
ERROR: Input tidak valid: 354.0000z
ERROR: Input tidak valid: 1575.0000z
ERROR: Input tidak valid: 1568.0000z
ERROR: Input tidak valid: 2152.0000z
ERROR: Input tidak valid: 334.0000y
ERROR: Input tidak valid: 718.0000y
ERROR: Input tidak valid: 3432.0000p
44.0000 F = 6.6667 C
ERROR: Input tidak valid: 4342.0000x
3761.0000 C = 6801.7998 F
ERROR: Input tidak valid: 4949.0000m
ERROR: Input tidak valid: 416.0000x
4802.0000 F = 2650.0000 C
ERROR: Input tidak valid: 4125.0000p
ERROR: Input tidak valid: 4414.0000x
ERROR: Input tidak valid: 1516.0000x
3503.0000 C = 6337.3999 F
ERROR: Input tidak valid: 2761.0000y
ERROR: Input tidak valid: 2412.0000x
ERROR: Input tidak valid: 1890.0000y
ERROR: Input tidak valid: 2873.0000z
ERROR: Input tidak valid: 4989.0000m
ERROR: Input tidak valid: 4937.0000y
3136.0000 C = 5676.7998 F
ERROR: Input tidak valid: 2091.0000x
3333.0000 C = 6031.3999 F
4694.0000 C = 8481.2002 F
ERROR: Input tidak valid: 3947.0000m
ERROR: Input tidak valid: 3151.0000p
1343.0000 C = 2449.3999 F
ERROR: Input tidak valid: 3024.0000x
ERROR: Input tidak valid: 1753.0000z
ERROR: Input tidak valid: 617.0000m
ERROR: Input tidak valid: 2580.0000y
ERROR: Input tidak valid: 3861.0000p
ERROR: Input tidak valid: 1142.0000y
ERROR: Input tidak valid: 470.0000m
ERROR: Input tidak valid: 1631.0000m
ERROR: Input tidak valid: 3228.0000z
ERROR: Input tidak valid: 4074.0000m
2769.0000 C = 5016.2002 F
ERROR: Input tidak valid: 4071.0000p
2371.0000 C = 4299.7998 F
ERROR: Input tidak valid: 2854.0000x
ERROR: Input tidak valid: 4045.0000m
5000.0000 F = 2760.0000 C
491.0000 C = 915.8000 F
4331.0000 F = 2388.3333 C
4485.0000 C = 8105.0000 F
ERROR: Input tidak valid: 4669.0000z
ERROR: Input tidak valid: 990.0000p
ERROR: Input tidak valid: 3814.0000x
ERROR: Input tidak valid: 718.0000p
ERROR: Input tidak valid: 1341.0000x
3755.0000 C = 6791.0000 F
1877.0000 C = 3410.6001 F
428.0000 F = 220.0000 C
ERROR: Input tidak valid: 2631.0000p
ERROR: Input tidak valid: 1267.0000z
ERROR: Input tidak valid: 3771.0000m
3243.0000 C = 5869.3999 F
3219.0000 C = 5826.2002 F
ERROR: Input tidak valid: 4173.0000z
3853.0000 C = 6967.3999 F
ERROR: Input tidak valid: 2687.0000z
ERROR: Input tidak valid: 4450.0000z
ERROR: Input tidak valid: 2542.0000x
ERROR: Input tidak valid: 3184.0000x
ERROR: Input tidak valid: 3369.0000m
ERROR: Input tidak valid: 796.0000z
ERROR: Input tidak valid: 876.0000p
ERROR: Input tidak valid: 2022.0000z
ERROR: Input tidak valid: 905.0000m
ERROR: Input tidak valid: 874.0000m
ERROR: Input tidak valid: 2231.0000p
ERROR: Input tidak valid: 1097.0000y
2921.0000 C = 5289.7998 F
2878.0000 F = 1581.1111 C
ERROR: Input tidak valid: 1081.0000z
ERROR: Input tidak valid: 4451.0000z
3505.0000 C = 6341.0000 F
1110.0000 C = 2030.0000 F
ERROR: Input tidak valid: 3344.0000z
2541.0000 C = 4605.7998 F
2549.0000 C = 4620.2002 F
2842.0000 F = 1561.1111 C
ERROR: Input tidak valid: 1027.0000m
756.0000 C = 1392.8000 F
ERROR: Input tidak valid: 1612.0000z
ERROR: Input tidak valid: 2048.0000z
ERROR: Input tidak valid: 3596.0000m
ERROR: Input tidak valid: 3036.0000m
ERROR: Input tidak valid: 1253.0000m
ERROR: Input tidak valid: 1390.0000y
887.0000 F = 475.0000 C
3624.0000 F = 1995.5555 C
4904.0000 C = 8859.2002 F
4450.0000 C = 8042.0000 F
ERROR: Input tidak valid: 2533.0000m
ERROR: Input tidak valid: 1620.0000x
ERROR: Input tidak valid: 2627.0000m
2858.0000 C = 5176.3999 F
ERROR: Input tidak valid: 580.0000z
4608.0000 C = 8326.4004 F
ERROR: Input tidak valid: 1248.0000y
ERROR: Input tidak valid: 1424.0000z
4204.0000 C = 7599.2002 F
ERROR: Input tidak valid: 1208.0000y
ERROR: Input tidak valid: 305.0000z
3142.0000 C = 5687.6001 F
1364.0000 F = 740.0000 C
ERROR: Input tidak valid: 4512.0000z
ERROR: Input tidak valid: 1697.0000x
ERROR: Input tidak valid: 4085.0000p
ERROR: Input tidak valid: 3896.0000x
ERROR: Input tidak valid: 3611.0000x
3508.0000 F = 1931.1111 C
4884.0000 F = 2695.5557 C
ERROR: Input tidak valid: 2132.0000p
ERROR: Input tidak valid: 667.0000y
ERROR: Input tidak valid: 3958.0000x
ERROR: Input tidak valid: 2411.0000y
ERROR: Input tidak valid: 1310.0000x
ERROR: Input tidak valid: 4028.0000y
ERROR: Input tidak valid: 469.0000z
ERROR: Input tidak valid: 891.0000z
ERROR: Input tidak valid: 1239.0000y
ERROR: Input tidak valid: 4781.0000x
ERROR: Input tidak valid: 1130.0000p
3893.0000 F = 2145.0000 C
ERROR: Input tidak valid: 4164.0000p
ERROR: Input tidak valid: 2239.0000z
ERROR: Input tidak valid: 748.0000m
ERROR: Input tidak valid: 749.0000m
ERROR: Input tidak valid: 788.0000z
ERROR: Input tidak valid: 729.0000p
ERROR: Input tidak valid: 4383.0000z
ERROR: Input tidak valid: 2905.0000y
ERROR: Input tidak valid: 2799.0000z
ERROR: Input tidak valid: 1076.0000p
ERROR: Input tidak valid: 1077.0000y
ERROR: Input tidak valid: 3574.0000x
ERROR: Input tidak valid: 2641.0000z
ERROR: Input tidak valid: 236.0000p
141.0000 C = 285.8000 F
ERROR: Input tidak valid: 2761.0000x
ERROR: Input tidak valid: 1389.0000m
ERROR: Input tidak valid: 4251.0000y
460.0000 F = 237.7778 C
88.0000 F = 31.1111 C
ERROR: Input tidak valid: 306.0000y
ERROR: Input tidak valid: 2669.0000z
3453.0000 C = 6247.3999 F
ERROR: Input tidak valid: 1167.0000x
2605.0000 C = 4721.0000 F
3240.0000 C = 5864.0000 F
974.0000 C = 1785.2000 F
ERROR: Input tidak valid: 884.0000z
ERROR: Input tidak valid: 315.0000x
ERROR: Input tidak valid: 2667.0000x
ERROR: Input tidak valid: 171.0000z
ERROR: Input tidak valid: 3771.0000x
ERROR: Input tidak valid: 4204.0000y
2752.0000 C = 4985.6001 F
ERROR: Input tidak valid: 3927.0000y
ERROR: Input tidak valid: 1668.0000z
ERROR: Input tidak valid: 3213.0000p
ERROR: Input tidak valid: 3859.0000m
2021.0000 F = 1105.0000 C
1329.0000 C = 2424.2000 F
1133.0000 C = 2071.3999 F
ERROR: Input tidak valid: 3037.0000m
ERROR: Input tidak valid: 651.0000x
3493.0000 F = 1922.7778 C
309.0000 F = 153.8889 C
325.0000 C = 617.0000 F
512.0000 C = 953.6000 F
ERROR: Input tidak valid: 20.0000y
ERROR: Input tidak valid: 3631.0000m
ERROR: Input tidak valid: 3031.0000y
ERROR: Input tidak valid: 2559.0000x
ERROR: Input tidak valid: 2334.0000z
1361.0000 F = 738.3333 C
2078.0000 C = 3772.3999 F
3552.0000 C = 6425.6001 F
ERROR: Input tidak valid: 4008.0000y
4052.0000 F = 2233.3333 C
3807.0000 F = 2097.2222 C
ERROR: Input tidak valid: 2729.0000x
ERROR: Input tidak valid: 490.0000y
3177.0000 C = 5750.6001 F
ERROR: Input tidak valid: 3396.0000m
ERROR: Input tidak valid: 3769.0000p
1821.0000 F = 993.8889 C
4141.0000 F = 2282.7778 C
ERROR: Input tidak valid: 240.0000x
ERROR: Input tidak valid: 3298.0000x
1353.0000 F = 733.8889 C
ERROR: Input tidak valid: 2351.0000z
ERROR: Input tidak valid: 1686.0000m
ERROR: Input tidak valid: 285.0000p
ERROR: Input tidak valid: 4568.0000z
3060.0000 C = 5540.0000 F
875.0000 C = 1607.0000 F
ERROR: Input tidak valid: 3082.0000z
ERROR: Input tidak valid: 4521.0000p
2494.0000 F = 1367.7778 C
1393.0000 F = 756.1111 C
ERROR: Input tidak valid: 3470.0000z
ERROR: Input tidak valid: 4345.0000x
ERROR: Input tidak valid: 4832.0000z
ERROR: Input tidak valid: 1506.0000m
3647.0000 C = 6596.6001 F
3802.0000 F = 2094.4443 C
1992.0000 F = 1088.8889 C
ERROR: Input tidak valid: 4220.0000m
ERROR: Input tidak valid: 3454.0000x
2596.0000 C = 4704.7998 F
ERROR: Input tidak valid: 3473.0000m
ERROR: Input tidak valid: 2481.0000x
ERROR: Input tidak valid: 4227.0000z
ERROR: Input tidak valid: 4960.0000m
ERROR: Input tidak valid: 4330.0000z
ERROR: Input tidak valid: 1947.0000x
3467.0000 F = 1908.3334 C
ERROR: Input tidak valid: 3983.0000y
ERROR: Input tidak valid: 3580.0000y
ERROR: Input tidak valid: 4739.0000z
2918.0000 C = 5284.3999 F
ERROR: Input tidak valid: 3926.0000m
ERROR: Input tidak valid: 1525.0000x
1909.0000 F = 1042.7778 C
3786.0000 F = 2085.5557 C
761.0000 C = 1401.8000 F
ERROR: Input tidak valid: 1837.0000x
ERROR: Input tidak valid: 141.0000z
ERROR: Input tidak valid: 2090.0000x
2245.0000 F = 1229.4445 C
2116.0000 C = 3840.8000 F
ERROR: Input tidak valid: 3540.0000x
ERROR: Input tidak valid: 2549.0000z
ERROR: Input tidak valid: 3446.0000z
ERROR: Input tidak valid: 3422.0000y
ERROR: Input tidak valid: 4826.0000x
ERROR: Input tidak valid: 1888.0000y
ERROR: Input tidak valid: 2973.0000m
410.0000 F = 210.0000 C
ERROR: Input tidak valid: 4879.0000m
4914.0000 F = 2712.2222 C
ERROR: Input tidak valid: 2077.0000m
ERROR: Input tidak valid: 3562.0000x
3270.0000 F = 1798.8889 C
ERROR: Input tidak valid: 3457.0000z
2266.0000 C = 4110.7998 F
2092.0000 F = 1144.4445 C
1756.0000 F = 957.7778 C
2651.0000 F = 1455.0000 C
ERROR: Input tidak valid: 3122.0000m
ERROR: Input tidak valid: 4520.0000z
107.0000 C = 224.6000 F
ERROR: Input tidak valid: 1733.0000m
ERROR: Input tidak valid: 348.0000y
ERROR: Input tidak valid: 638.0000z
ERROR: Input tidak valid: 4537.0000x
ERROR: Input tidak valid: 777.0000y
ERROR: Input tidak valid: 3403.0000x
ERROR: Input tidak valid: 1484.0000z
ERROR: Input tidak valid: 970.0000z
ERROR: Input tidak valid: 3574.0000z
3066.0000 F = 1685.5555 C
ERROR: Input tidak valid: 2651.0000x
ERROR: Input tidak valid: 206.0000p
ERROR: Input tidak valid: 1401.0000m
ERROR: Input tidak valid: 1011.0000y
35.0000 C = 95.0000 F
ERROR: Input tidak valid: 2852.0000y
ERROR: Input tidak valid: 3174.0000x
ERROR: Input tidak valid: 2359.0000z
ERROR: Input tidak valid: 4698.0000p
3023.0000 F = 1661.6666 C
ERROR: Input tidak valid: 428.0000x
ERROR: Input tidak valid: 3459.0000x
ERROR: Input tidak valid: 2850.0000x
897.0000 C = 1646.6000 F
ERROR: Input tidak valid: 922.0000x
ERROR: Input tidak valid: 69.0000x
ERROR: Input tidak valid: 2120.0000m
ERROR: Input tidak valid: 328.0000z
2746.0000 F = 1507.7778 C
ERROR: Input tidak valid: 1802.0000m
ERROR: Input tidak valid: 2120.0000y
3263.0000 C = 5905.3999 F
ERROR: Input tidak valid: 176.0000z
ERROR: Input tidak valid: 1413.0000p
ERROR: Input tidak valid: 1141.0000p
ERROR: Input tidak valid: 3201.0000p
ERROR: Input tidak valid: 3893.0000p
495.0000 F = 257.2222 C
ERROR: Input tidak valid: 2222.0000p
ERROR: Input tidak valid: 2344.0000m
ERROR: Input tidak valid: 2314.0000m
ERROR: Input tidak valid: 4514.0000m
ERROR: Input tidak valid: 1149.0000x
ERROR: Input tidak valid: 350.0000z
ERROR: Input tidak valid: 2282.0000x
1492.0000 C = 2717.6001 F
ERROR: Input tidak valid: 3198.0000p
3836.0000 F = 2113.3333 C
ERROR: Input tidak valid: 4304.0000p
ERROR: Input tidak valid: 1436.0000y
ERROR: Input tidak valid: 2953.0000p
ERROR: Input tidak valid: 4607.0000x
ERROR: Input tidak valid: 2901.0000z
ERROR: Input tidak valid: 3892.0000p
ERROR: Input tidak valid: 764.0000p
ERROR: Input tidak valid: 1928.0000z
1265.0000 F = 685.0000 C
ERROR: Input tidak valid: 3909.0000y
ERROR: Input tidak valid: 277.0000z
ERROR: Input tidak valid: 3653.0000m
ERROR: Input tidak valid: 4253.0000x
74.0000 F = 23.3333 C
ERROR: Input tidak valid: 999.0000y
2017.0000 C = 3662.6001 F
ERROR: Input tidak valid: 3760.0000p
ERROR: Input tidak valid: 1102.0000p
ERROR: Input tidak valid: 1175.0000p
ERROR: Input tidak valid: 1918.0000p
ERROR: Input tidak valid: 4803.0000x
ERROR: Input tidak valid: 4101.0000p
ERROR: Input tidak valid: 2979.0000p
402.0000 C = 755.6000 F
ERROR: Input tidak valid: 1181.0000m
ERROR: Input tidak valid: 4380.0000m
4327.0000 F = 2386.1111 C
ERROR: Input tidak valid: 4483.0000y
ERROR: Input tidak valid: 1388.0000z
ERROR: Input tidak valid: 1499.0000p
ERROR: Input tidak valid: 625.0000p
ERROR: Input tidak valid: 3452.0000m
2477.0000 F = 1358.3334 C
2517.0000 F = 1380.5555 C
ERROR: Input tidak valid: 530.0000x
3616.0000 F = 1991.1111 C
ERROR: Input tidak valid: 539.0000x
4285.0000 C = 7745.0000 F
ERROR: Input tidak valid: 4598.0000p
2863.0000 F = 1572.7778 C
ERROR: Input tidak valid: 4888.0000z
ERROR: Input tidak valid: 3890.0000z
4709.0000 C = 8508.2002 F
25.0000 C = 77.0000 F
ERROR: Input tidak valid: 2679.0000y
ERROR: Input tidak valid: 4164.0000y
ERROR: Input tidak valid: 4612.0000m
ERROR: Input tidak valid: 3011.0000y
1512.0000 F = 822.2222 C
ERROR: Input tidak valid: 4986.0000x
ERROR: Input tidak valid: 4825.0000m
2384.0000 C = 4323.2002 F
4175.0000 F = 2301.6667 C
ERROR: Input tidak valid: 204.0000p
ERROR: Input tidak valid: 3409.0000p
115.0000 F = 46.1111 C
ERROR: Input tidak valid: 2957.0000z
ERROR: Input tidak valid: 3192.0000m
ERROR: Input tidak valid: 4256.0000m
ERROR: Input tidak valid: 2215.0000z
ERROR: Input tidak valid: 418.0000y
ERROR: Input tidak valid: 2165.0000x
ERROR: Input tidak valid: 713.0000x
ERROR: Input tidak valid: 3876.0000x
2419.0000 F = 1326.1111 C
ERROR: Input tidak valid: 458.0000y
1486.0000 F = 807.7778 C
ERROR: Input tidak valid: 1562.0000y
ERROR: Input tidak valid: 2572.0000y
ERROR: Input tidak valid: 4108.0000x
2499.0000 F = 1370.5555 C
ERROR: Input tidak valid: 842.0000y
ERROR: Input tidak valid: 611.0000y
ERROR: Input tidak valid: 880.0000p
ERROR: Input tidak valid: 3475.0000x
2450.0000 C = 4442.0000 F
1474.0000 C = 2685.2000 F
546.0000 C = 1014.8000 F
2652.0000 C = 4805.6001 F
ERROR: Input tidak valid: 3557.0000y
ERROR: Input tidak valid: 301.0000p
4003.0000 F = 2206.1111 C
4860.0000 F = 2682.2222 C
ERROR: Input tidak valid: 3408.0000p
ERROR: Input tidak valid: 3377.0000z
ERROR: Input tidak valid: 3226.0000m
ERROR: Input tidak valid: 76.0000x
ERROR: Input tidak valid: 4907.0000m
ERROR: Input tidak valid: 452.0000x
ERROR: Input tidak valid: 3351.0000p
32.0000 C = 89.6000 F
ERROR: Input tidak valid: 2293.0000p
ERROR: Input tidak valid: 3465.0000m
ERROR: Input tidak valid: 4585.0000y
ERROR: Input tidak valid: 633.0000m
ERROR: Input tidak valid: 2161.0000p
ERROR: Input tidak valid: 2547.0000m
ERROR: Input tidak valid: 3170.0000m
ERROR: Input tidak valid: 3650.0000z
ERROR: Input tidak valid: 2378.0000y
1266.0000 C = 2310.8000 F
ERROR: Input tidak valid: 1525.0000m
2543.0000 F = 1395.0000 C
ERROR: Input tidak valid: 2550.0000p
ERROR: Input tidak valid: 1930.0000p
ERROR: Input tidak valid: 4413.0000p
ERROR: Input tidak valid: 2260.0000z
ERROR: Input tidak valid: 2169.0000m
ERROR: Input tidak valid: 2933.0000y
ERROR: Input tidak valid: 612.0000p
ERROR: Input tidak valid: 1041.0000p
ERROR: Input tidak valid: 1300.0000m
ERROR: Input tidak valid: 4364.0000m
ERROR: Input tidak valid: 2593.0000x
ERROR: Input tidak valid: 4058.0000m
3819.0000 F = 2103.8889 C
ERROR: Input tidak valid: 4370.0000z
4320.0000 F = 2382.2222 C
3304.0000 F = 1817.7778 C
1638.0000 C = 2980.3999 F
ERROR: Input tidak valid: 3755.0000y
2078.0000 C = 3772.3999 F
ERROR: Input tidak valid: 417.0000x
ERROR: Input tidak valid: 1813.0000x
ERROR: Input tidak valid: 1099.0000m
ERROR: Input tidak valid: 3402.0000y
ERROR: Input tidak valid: 1558.0000p
ERROR: Input tidak valid: 1332.0000z
ERROR: Input tidak valid: 1040.0000z
4326.0000 F = 2385.5557 C
4211.0000 C = 7611.7998 F
ERROR: Input tidak valid: 1145.0000p
4759.0000 F = 2626.1111 C
3443.0000 F = 1895.0000 C
ERROR: Input tidak valid: 782.0000z
ERROR: Input tidak valid: 4170.0000p
ERROR: Input tidak valid: 1061.0000x
ERROR: Input tidak valid: 2395.0000z
23.0000 C = 73.4000 F
3966.0000 F = 2185.5557 C
ERROR: Input tidak valid: 1744.0000m
ERROR: Input tidak valid: 380.0000x
ERROR: Input tidak valid: 4713.0000y
2766.0000 C = 5010.7998 F
ERROR: Input tidak valid: 338.0000m
ERROR: Input tidak valid: 4669.0000z
ERROR: Input tidak valid: 1620.0000x
1164.0000 F = 628.8889 C
ERROR: Input tidak valid: 1694.0000x
ERROR: Input tidak valid: 887.0000y
ERROR: Input tidak valid: 2946.0000x
ERROR: Input tidak valid: 1660.0000z
ERROR: Input tidak valid: 4315.0000x
ERROR: Input tidak valid: 665.0000x
ERROR: Input tidak valid: 2992.0000z
ERROR: Input tidak valid: 1969.0000p
ERROR: Input tidak valid: 4570.0000p
ERROR: Input tidak valid: 4164.0000y
ERROR: Input tidak valid: 938.0000m
ERROR: Input tidak valid: 3692.0000y
ERROR: Input tidak valid: 874.0000x
ERROR: Input tidak valid: 594.0000m
1071.0000 C = 1959.8000 F
ERROR: Input tidak valid: 2063.0000m
273.0000 C = 523.4000 F
4428.0000 F = 2442.2222 C
ERROR: Input tidak valid: 2516.0000m
ERROR: Input tidak valid: 3488.0000m
ERROR: Input tidak valid: 3603.0000x
2264.0000 C = 4107.2002 F
ERROR: Input tidak valid: 2035.0000x
ERROR: Input tidak valid: 4106.0000y
ERROR: Input tidak valid: 4450.0000z
ERROR: Input tidak valid: 208.0000y
ERROR: Input tidak valid: 4980.0000z
ERROR: Input tidak valid: 579.0000z
3968.0000 F = 2186.6667 C
1716.0000 F = 935.5555 C
ERROR: Input tidak valid: 445.0000p
ERROR: Input tidak valid: 3721.0000z
ERROR: Input tidak valid: 794.0000y
ERROR: Input tidak valid: 3123.0000p
2499.0000 C = 4530.2002 F
ERROR: Input tidak valid: 843.0000x
4198.0000 F = 2314.4443 C
ERROR: Input tidak valid: 4549.0000m
4941.0000 C = 8925.7998 F
ERROR: Input tidak valid: 3974.0000z
ERROR: Input tidak valid: 2286.0000p
510.0000 F = 265.5555 C
ERROR: Input tidak valid: 1307.0000z
ERROR: Input tidak valid: 4445.0000y
2757.0000 C = 4994.6001 F
ERROR: Input tidak valid: 2021.0000y
ERROR: Input tidak valid: 2460.0000z
ERROR: Input tidak valid: 3162.0000p
ERROR: Input tidak valid: 4243.0000p
ERROR: Input tidak valid: 4088.0000p
2635.0000 F = 1446.1111 C
ERROR: Input tidak valid: 4787.0000x
ERROR: Input tidak valid: 3354.0000z
ERROR: Input tidak valid: 768.0000z
ERROR: Input tidak valid: 4721.0000p
ERROR: Input tidak valid: 242.0000m
ERROR: Input tidak valid: 1544.0000m
ERROR: Input tidak valid: 4734.0000z
ERROR: Input tidak valid: 4699.0000y
ERROR: Input tidak valid: 1251.0000p
ERROR: Input tidak valid: 4746.0000z
ERROR: Input tidak valid: 2012.0000x
3862.0000 C = 6983.6001 F
ERROR: Input tidak valid: 1305.0000m
ERROR: Input tidak valid: 1100.0000x
3590.0000 C = 6494.0000 F
2508.0000 F = 1375.5555 C
ERROR: Input tidak valid: 413.0000m
ERROR: Input tidak valid: 4575.0000z
ERROR: Input tidak valid: 4448.0000p
ERROR: Input tidak valid: 2414.0000z
ERROR: Input tidak valid: 385.0000x
ERROR: Input tidak valid: 3532.0000p
ERROR: Input tidak valid: 4765.0000y
ERROR: Input tidak valid: 833.0000m
ERROR: Input tidak valid: 2284.0000m
ERROR: Input tidak valid: 2476.0000y
ERROR: Input tidak valid: 2840.0000y
1377.0000 C = 2510.6001 F
ERROR: Input tidak valid: 468.0000m
3548.0000 F = 1953.3334 C
1089.0000 F = 587.2222 C
ERROR: Input tidak valid: 2235.0000p
4311.0000 F = 2377.2222 C
ERROR: Input tidak valid: 3143.0000p
235.0000 F = 112.7778 C
